genre,avg_title_length
Animation,31.33571160345475
Documentary,29.98436889409926
Fantasy,28.77550246492226
Adventure,28.698795180722893
Children,28.696253182975628
IMAX,27.619289340101524
War,27.242857142857144
Musical,26.58670260557053
Comedy,26.577024316871395
Mystery,26.04760187522539
Action,25.892145862552596
Sci-Fi,25.76800232288037
Western,25.251814223512337
Romance,25.048165137614678
Drama,25.04303346587144
Crime,24.818413320274242
Horror,24.554995499549953
(no genres listed),24.380684481950304
Film-Noir,23.912087912087912
Thriller,22.7317429406037
