release_year,avg_rating,num_ratings
1874.0,2.55,10
1878.0,2.9285714285714284,14
1883.0,2.3,5
1887.0,1.777777777777778,9
1888.0,1.8793103448275863,29
1890.0,1.880952380952381,21
1891.0,1.4655172413793103,29
1892.0,1.7692307692307692,13
1893.0,2.590909090909091,11
1894.0,2.336842105263158,95
1895.0,3.028409090909091,88
1896.0,3.0064935064935066,154
1897.0,2.9047619047619047,42
1898.0,3.3154761904761907,84
1899.0,3.0454545454545454,22
1900.0,2.7338709677419355,62
1901.0,3.0851063829787235,47
1902.0,3.7277701778385772,731
1903.0,3.164414414414414,222
1904.0,3.2586206896551726,29
1905.0,2.75,22
1906.0,2.8285714285714287,35
1907.0,2.769230769230769,26
1908.0,3.06,50
1909.0,3.119565217391304,46
1910.0,3.0267857142857144,56
1911.0,3.475609756097561,41
1912.0,3.1587301587301586,63
1913.0,3.1357142857142857,70
1914.0,2.8763440860215055,186
1915.0,3.133220910623946,593
1916.0,3.404397705544933,523
1917.0,3.404918032786885,305
1918.0,3.4950166112956813,301
1919.0,3.338235294117647,544
1920.0,3.7825638911788952,2426
1921.0,3.8024974515800203,1962
1922.0,3.8139750975655082,5381
1923.0,3.679221854304636,1208
1924.0,3.7885818561001043,1918
1925.0,3.806348766287774,7214
1926.0,3.9072881792428533,3883
1927.0,3.8758223684210527,9120
1928.0,3.676004592422503,4355
1929.0,3.687778485041375,3142
1930.0,3.804858299595142,6175
1931.0,3.920417202457494,20997
1932.0,3.5958177278402,9612
1933.0,3.6705681418596474,19907
1934.0,3.9390023620953176,14394
1935.0,3.8505754642950563,15292
1936.0,3.854846207484311,12907
1937.0,3.63989978479427,31133
1938.0,3.861127251597908,18931
1939.0,3.8622078367614816,67043
1940.0,3.776853558742862,66723
1941.0,3.91058872651357,59875
1942.0,3.957903907466449,53948
1943.0,3.6388479359730415,9496
1944.0,3.927024062521423,29174
1945.0,3.7025596354864647,14924
1946.0,3.9794854450457176,42872
1947.0,3.698990435706695,16938
1948.0,3.893400045833015,26182
1949.0,3.8639676680839137,21403
1950.0,3.831587124950133,47627
1951.0,3.868609759639823,55084
1952.0,3.8964324717874046,30217
1953.0,3.700022700538622,48457
1954.0,3.970365217827242,79788
1955.0,3.7288702475005877,55313
1956.0,3.707167521454324,39386
1957.0,3.996579750386857,69147
1958.0,3.809157160383059,54613
1959.0,3.816855763728198,80382
1960.0,3.8152698752414262,76628
1961.0,3.691020295497799,68833
1962.0,3.9255390214687185,86824
1963.0,3.710322885337178,80462
1964.0,3.870066367182445,108186
1965.0,3.7063954450660397,60418
1966.0,3.8377928527728793,55574
1967.0,3.8109911245567285,99826
1968.0,3.7352268014928707,125396
1969.0,3.75424257449497,62521
1970.0,3.665909124557689,67543
1971.0,3.7470648969467137,153998
1972.0,3.967826763397764,118266
1973.0,3.740845812325984,132890
1974.0,3.8920155562033045,130366
1975.0,3.8801749846504694,182416
1976.0,3.723373900172683,121610
1977.0,3.8365951412733943,170662
1978.0,3.4539640356577035,136969
1979.0,3.7332395144988624,220638
1980.0,3.708327171357163,270476
1981.0,3.685405290953585,245589
1982.0,3.593666746798302,303667
1983.0,3.668207561361354,245961
1984.0,3.564714482177592,403565
1985.0,3.51121367678327,348503
1986.0,3.491117550413583,422406
1987.0,3.533153081436017,424591
1988.0,3.508016216821802,428444
1989.0,3.4936843933347297,558537
1990.0,3.429584533353736,548949
1991.0,3.5986218608882434,486961
1992.0,3.4506957693135054,567142
1993.0,3.50927266427994,1082375
1994.0,3.520998811499041,1529658
1995.0,3.457901595063295,1768143
1996.0,3.3522074654975826,1334834
1997.0,3.4023956320500273,1080049
1998.0,3.4440255069991528,1041126
1999.0,3.5071236218488875,1306007
2000.0,3.4155265788002853,1089609
2001.0,3.4897031282266737,983017
2002.0,3.4712574978722635,885918
2003.0,3.477853318570162,779417
2004.0,3.515708504598401,849317
2005.0,3.4366136506124105,571022
2006.0,3.550748203954376,617746
2007.0,3.5098505968358635,579305
2008.0,3.526984332560511,548207
2009.0,3.528935388279551,507199
2010.0,3.5728535464098075,456800
2011.0,3.492449241977822,373340
2012.0,3.5510402789155613,362547
2013.0,3.4925040614735146,337316
2014.0,3.6199536392099043,356767
2015.0,3.561679931167993,278940
2016.0,3.5329304589639956,204613
2017.0,3.5167532531384182,122036
2018.0,3.3869432894680442,23329
,3.6704793821943755,6863
